Wedge,Timestamp,RFID,Mouse
70,8/18/21 22:29,48 48 48 49 51 48 50 54 49,297
14,8/18/21 22:28,48 48 48 49 51 48 51 57 50,298
7,8/18/21 22:25,48 48 48 48 55 50 56 57 55,103
14,8/18/21 22:22,48 48 48 49 51 48 50 53 54,277
14,8/18/21 22:22,48 48 48 49 51 48 50 53 54,277
14,8/18/21 22:22,48 48 48 49 51 48 50 53 54,277
70,8/18/21 22:20,48 48 48 49 51 48 51 49 57,282
70,8/18/21 22:20,48 48 48 49 51 48 51 49 57,282
70,8/18/21 22:19,48 48 48 49 51 48 51 49 57,282
70,8/18/21 22:13,48 48 48 49 51 48 50 54 49,297
70,8/18/21 22:13,48 48 48 49 51 48 51 57 50,298
70,8/18/21 22:09,48 48 48 49 51 48 51 57 50,298
70,8/18/21 22:08,48 48 48 49 51 48 50 54 49,297
70,8/18/21 22:08,48 48 48 49 51 48 50 50 57,300
70,8/18/21 22:07,48 48 48 49 51 48 51 49 57,282
7,8/18/21 22:04,48 48 48 48 55 50 56 57 55,103
70,8/18/21 22:01,48 48 48 49 51 48 51 52 49,280
70,8/18/21 22:01,48 48 48 49 51 48 50 57 48,274
70,8/18/21 21:56,48 48 48 49 51 48 50 51 55,287
70,8/18/21 21:55,48 48 48 49 51 48 51 52 49,280
70,8/18/21 21:55,48 48 48 49 51 48 51 52 49,280
70,8/18/21 21:55,48 48 48 49 51 48 51 52 49,280
30,8/18/21 21:55,48 48 48 49 51 48 51 55 50,117
30,8/18/21 21:54,48 48 48 49 51 48 51 55 50,117
70,8/18/21 21:50,48 48 48 49 51 48 50 51 55,287
30,8/18/21 21:49,48 48 48 48 55 50 56 57 55,103
70,8/18/21 21:48,48 48 48 49 51 48 50 53 54,277
70,8/18/21 21:47,48 48 48 49 51 48 50 53 54,277
70,8/18/21 21:47,48 48 48 49 51 48 50 53 54,277
70,8/18/21 21:45,48 48 48 49 51 48 50 50 57,300
70,8/18/21 21:42,48 48 48 49 51 48 51 51 57,292
30,8/18/21 21:37,48 48 48 48 55 50 56 57 55,103
70,8/18/21 21:35,48 48 48 49 51 48 51 49 55,273
70,8/18/21 21:34,48 48 48 49 51 48 50 53 54,277
